iter	Passed	Remaining
1405	20822	8797
1406	20829	8778
1407	20835	8760
1408	20842	8742
1409	20850	8724
1410	20864	8709
1411	20876	8693
1412	20884	8675
1413	20890	8657
1414	20896	8639
1415	20903	8621
1416	20911	8603
1417	20916	8585
1418	20926	8568
1419	20944	8554
1420	20959	8540
1421	20976	8526
1422	20987	8510
1423	20997	8493
1424	21003	8475
1425	21009	8456
1426	21015	8438
1427	21023	8420
1428	21029	8403
1429	21036	8385
1430	21043	8367
1431	21050	8349
1432	21057	8331
1433	21063	8313
1434	21070	8296
1435	21082	8280
1436	21092	8263
1437	21097	8245
1438	21105	8227
1439	21109	8209
1440	21115	8191
1441	21122	8173
1442	21128	8155
1443	21134	8137
1444	21138	8119
1445	21145	8101
1446	21151	8083
1447	21156	8065
1448	21161	8047
1449	21167	8029
1450	21172	8010
1451	21178	7992
1452	21182	7974
1453	21187	7956
1454	21193	7938
1455	21198	7920
1456	21203	7902
1457	21211	7885
1458	21218	7867
1459	21228	7851
1460	21237	7835
1461	21249	7819
1462	21259	7803
1463	21270	7787
1464	21281	7771
1465	21290	7755
1466	21301	7739
1467	21310	7722
1468	21318	7706
1469	21325	7688
1470	21330	7670
1471	21334	7652
1472	21339	7634
1473	21345	7617
1474	21349	7599
1475	21356	7581
1476	21363	7564
1477	21371	7548
1478	21379	7531
1479	21389	7515
1480	21397	7498
1481	21407	7482
1482	21415	7465
1483	21424	7449
1484	21431	7432
1485	21440	7416
1486	21447	7399
1487	21455	7382
1488	21462	7365
1489	21468	7348
1490	21474	7331
1491	21482	7314
1492	21489	7297
1493	21496	7280
1494	21507	7265
1495	21512	7247
1496	21517	7229
1497	21524	7212
1498	21531	7196
1499	21540	7180
1500	21551	7164
1501	21561	7149
1502	21571	7133
1503	21585	7118
1504	21597	7103
1505	21613	7089
1506	21626	7074
1507	21636	7059
1508	21645	7043
1509	21656	7027
1510	21663	7010
1511	21669	6993
1512	21676	6977
1513	21684	6960
1514	21690	6943
1515	21695	6926
1516	21700	6909
1517	21705	6892
1518	21710	6874
1519	21715	6857
1520	21719	6840
1521	21724	6822
1522	21729	6805
1523	21735	6788
1524	21742	6772
1525	21752	6756
1526	21766	6742
1527	21793	6732
1528	21800	6715
1529	21807	6699
1530	21814	6682
1531	21819	6665
1532	21823	6648
1533	21829	6631
1534	21838	6615
1535	21844	6598
1536	21849	6581
1537	21855	6565
1538	21861	6548
1539	21868	6532
1540	21874	6515
1541	21881	6499
1542	21887	6482
1543	21903	6468
1544	21909	6452
1545	21915	6435
1546	21921	6419
1547	21925	6402
1548	21931	6385
1549	21937	6368
1550	21941	6351
1551	21946	6335
1552	21950	6318
1553	21955	6301
