group_id,x,y,w,h,FID_Soil25,soilgroup,fertility,texture_to,OBJECTID,Id,sugar,cassava,maize,rice,water_code,crop_type
15402,101.26453844827802,13.67888787205904,0.01,0.01,"489.0,777.0,489.0,777.0,489.0","2,11,2,11,2","ปานกลาง,ปานกลาง,ปานกลาง,ปานกลาง,ปานกลาง","ดินเหนียว,ดินเหนียว,ดินเหนียว,ดินเหนียว,ดินเหนียว","351200.0,351205.0,351363.0,351200.0,351205.0,351363.0,351205.0,351363.0,351363.0,351205.0,351363.0,351363.0,351363.0","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",0.0,0.0,0.0,13.0,"2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0","A0102,A0102,A0102,A0102,A0102,A0102,A0102,A0102,A0102,A0102,A0102,A0102,A0102"
15403,101.27453844827802,13.67888787205904,0.01,0.01,"489.0,489.0,489.0","2,2,2","ปานกลาง,ปานกลาง,ปานกลาง","ดินเหนียว,ดินเหนียว,ดินเหนียว","351361.0,351363.0,351363.0,351363.0,351361.0,351363.0,351361.0,351364.0,351363.0,351361.0,351364.0,351363.0,351361.0,351364.0,351363.0","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",0.0,0.0,0.0,15.0,"2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0","A0102,A0102,A0102,A0102,A0102,A0102,A0102,A0102,A0102,A0102,A0102,A0102,A0102,A0102,A0102"
15404,101.28453844827803,13.67888787205904,0.01,0.01,"489.0,489.0,599.0","2,2,10","ปานกลาง,ปานกลาง,ปานกลาง","ดินเหนียว,ดินเหนียว,ดินเหนียว","351361.0,351363.0,351363.0,351348.0,351348.0,351363.0,351348.0,351361.0,351363.0,364520.0,351348.0,351361.0,351364.0,351359.0,351363.0,351361.0,351364.0,351359.0,351363.0,351361.0,351364.0,351363.0","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",0.0,0.0,0.0,22.0,"2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0","A0102,A0102,A0102,A0102,A0102,A0102,A0102,A0102,A0102,A0102,A0102,A0102,A0102,A0102,A0102,A0102,A0102,A0102,A0102,A0102,A0102,A0102"
15405,101.29453844827803,13.67888787205904,0.01,0.01,"312.0,489.0,599.0,489.0,599.0","6,2,10,2,10","ต่ำ,ปานกลาง,ปานกลาง,ปานกลาง,ปานกลาง","ดินร่วนปนดินเหนียว,ดินเหนียว,ดินเหนียว,ดินเหนียว,ดินเหนียว","351363.0,351363.0,351344.0,351350.0,351348.0,351344.0,351350.0,351348.0,351363.0,351350.0,351348.0,351363.0,351348.0,351363.0,351363.0,351363.0","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",0.0,0.0,0.0,16.0,"2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0","A0102,A0102,A0102,A0102,A0102,A0102,A0102,A0102,A0102,A0102,A0102,A0102,A0102,A0102,A0102,A0102"
15406,101.30453844827804,13.67888787205904,0.01,0.01,"312.0,489.0","6,2","ต่ำ,ปานกลาง","ดินร่วนปนดินเหนียว,ดินเหนียว","351344.0,351346.0,351350.0,351348.0,351344.0,351346.0,351350.0,351348.0,351350.0,351348.0,351348.0","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",0.0,0.0,0.0,11.0,"2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0","A0102,A0102,A0102,A0102,A0102,A0102,A0102,A0102,A0102,A0102,A0102"
15407,101.31453844827804,13.67888787205904,0.01,0.01,312.0,6,ต่ำ,ดินร่วนปนดินเหนียว,"351345.0,351347.0,351346.0,351348.0,351346.0,351348.0,351345.0,351347.0,351348.0,351348.0","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",0.0,0.0,0.0,10.0,"3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0","A0102,A0102,A0102,A0102,A0102,A0102,A0102,A0102,A0102,A0102"
15408,101.32453844827805,13.67888787205904,0.01,0.01,"312.0,54.0","6,48B","ต่ำ,ต่ำ","ดินร่วนปนดินเหนียว,ดินร่วนปนทราย","351347.0,351348.0,351348.0,351347.0,351348.0,351348.0","0.0,0.0,0.0,0.0,0.0,0.0",0.0,0.0,0.0,6.0,"3.0,2.0,2.0,3.0,2.0,2.0","A0102,A0102,A0102,A0102,A0102,A0102"
15409,101.33453844827805,13.67888787205904,0.01,0.01,54.0,48B,ต่ำ,ดินร่วนปนทราย,"351345.0,351345.0","0.0,0.0",0.0,0.0,0.0,2.0,"3.0,3.0","A0102,A0102"
15410,101.34453844827806,13.67888787205904,0.01,0.01,54.0,48B,ต่ำ,ดินร่วนปนทราย,"351345.0,351345.0","0.0,0.0",0.0,0.0,0.0,2.0,"3.0,3.0","A0102,A0102"
15412,101.36453844827807,13.67888787205904,0.01,0.01,"54.0,730.0","48B,17","ต่ำ,ต่ำ","ดินร่วนปนทราย,ดินร่วนปนทราย","351309.0,351309.0,351309.0,351309.0,351309.0,351309.0,351309.0,351309.0,351309.0","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",0.0,0.0,0.0,9.0,"3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0","A0102,A0102,A0102,A0102,A0102,A0102,A0102,A0102,A0102"
15413,101.37453844827807,13.67888787205904,0.01,0.01,"52.0,54.0,730.0","48B,48B,17","ต่ำ,ต่ำ,ต่ำ","ดินร่วนปนดินเหนียวปนกรวด,ดินร่วนปนทราย,ดินร่วนปนทราย","351307.0,351309.0,351307.0,351309.0,351309.0,351307.0,351309.0,351307.0,351309.0,351307.0,351309.0,351309.0,351309.0,351307.0,351309.0","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",0.0,0.0,0.0,15.0,"3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0","A0102,A0102,A0102,A0102,A0102,A0102,A0102,A0102,A0102,A0102,A0102,A0102,A0102,A0102,A0102"
15414,101.38453844827808,13.67888787205904,0.01,0.01,"52.0,54.0,730.0","48B,48B,17","ต่ำ,ต่ำ,ต่ำ","ดินร่วนปนดินเหนียวปนกรวด,ดินร่วนปนทราย,ดินร่วนปนทราย","351307.0,351307.0,351307.0,351307.0,351307.0,351307.0","0.0,0.0,0.0,0.0,0.0,0.0",0.0,0.0,0.0,6.0,"3.0,3.0,3.0,3.0,3.0,3.0","A0102,A0102,A0102,A0102,A0102,A0102"
